LocalCellName,datetime,RRC.ConnEstabSucc,RRC.ConnEstabAtt,RRC.Setup,RRC.ConnMax,MM.HoExeIntraFreqSuccOut,MM.HoExeIntraFreqReqOut,MM.HoExeIntraFreqSucc,MM.HoExeIntraFreqAtt,MM.HoExecInterFreqReqOut.Cov,MM.HoExeInterFreqSuccOut.Cov,MM.HoPrepInterFreqReqOut.Cov,MM.HoExeInterFreqReqOut,MM.HoExeInterFreqSuccOut,MM.HoPrepInterFreqReqOut,MM.HoPrepIntraFreqReqOut,MM.HoFailIn.Admit,MM.HoExeIntraFreqPrepReqIn,MM.Redirection.Blind,MM.Redirection.Cov,CARR.WBCQIDist.Bin0,CARR.WBCQIDist.Bin1,CARR.WBCQIDist.Bin2,CARR.WBCQIDist.Bin3,CARR.WBCQIDist.Bin4,CARR.WBCQIDist.Bin5,CARR.WBCQIDist.Bin6,CARR.WBCQIDist.Bin7,CARR.WBCQIDist.Bin8,CARR.WBCQIDist.Bin9,CARR.WBCQIDist.Bin10,CARR.WBCQIDist.Bin11,CARR.WBCQIDist.Bin12,CARR.WBCQIDist.Bin13,CARR.WBCQIDist.Bin14,CARR.WBCQIDist.Bin15,ThpVolDl,ThpVolUl,ThpTimeDl,ThpTimeUl,CellUnavail.System,CellUnavail.Manual,CellUnavail.EnergySaving,UECNTX.Est.Att,UECNTX.Est.Succ,UECNTX.Rem
Cell_1,day 01 10:00:00,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,427,328,695,1649,2622,2186,4618,6467,8854,13065,14385,12541,12564,14170,19588,6670419.33,104943.84,672640000,25504000,0,0,0,0,0,0
Cell_1,day 01 11:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,411,89,476,930,1220,2966,5595,9293,15241,16011,11977,14036,13156,10324,14646,4182129.26,239781.04,999382000,24869000,0,0,0,0,0,0
Cell_1,day 01 12:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,112,58,218,858,1245,2474,4137,8346,14295,14141,18263,18425,19611,16633,10367,6670419.33,104943.84,1206630000,35384000,0,0,0,0,0,0
Cell_1,day 01 13:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,101,231,372,865,1880,3644,8266,14160,17675,18205,18627,19197,14430,16265,5652082.03,135782.3,1707350000,20501000,0,0,0,0,0,0
Cell_1,day 01 14:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,427,265,466,1100,1787,3610,5387,10884,20024,24352,26918,40210,32109,19255,20754,8742109.81,2406077.24,5342986000,346416000,0,0,0,0,0,0
Cell_1,day 01 15:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,609,241,487,1100,2106,5028,8058,12173,17979,25273,27009,29782,28970,23744,22057,8414931.37,2275950.85,3806909000,346416000,0,0,0,0,0,0
Cell_1,day 01 16:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,465,273,649,1479,1953,4515,7879,15149,21416,23267,23130,18302,17093,15267,15246,6670419.33,1271866.45,2825174000,148177000,0,0,0,0,0,0
Cell_1,day 01 17:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,531,295,693,925,1851,4616,8178,14030,20800,22943,24397,20743,23383,18375,16538,5455452.43,333083.77,422838000,53808000,0,0,0,0,0,0
Cell_1,day 01 18:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,97,75,270,972,1928,3547,6180,10848,16524,20834,21850,17916,15849,14104,18969,5351528.82,331159.51,1516653000,42817000,0,0,0,0,0,0
Cell_1,day 01 19:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,146,64,264,419,1338,10115,19933,18594,15867,17838,24537,25160,17247,11295,10470,10432093.46,333083.77,3277869000,59199000,0,0,0,0,0,0
Cell_1,day 01 20:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,201,188,313,510,1155,3472,6581,10418,16324,15829,14908,16859,14753,8428,8632,5977043.36,113370.89,1503475000,35384000,0,0,0,0,0,0
Cell_1,day 01 21:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,163,105,207,405,977,2882,4020,7551,15212,17179,23269,24596,20226,15797,22911,8020078.68,1558570.79,2748045000,194129000,0,0,0,0,0,0
Cell_1,day 01 22:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,145,147,463,860,866,1948,3999,9097,14682,21415,30226,33658,26142,23135,20911,9342425.5,927630.56,3378794000,150371000,0,0,0,0,0,0
Cell_1,day 01 23:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,382,258,652,1365,1920,2518,6835,12339,18661,21256,29503,28352,23645,24151,37464,10875223.18,400383.74,3264541000,46729000,0,0,0,0,0,0
Cell_1,day 02 00:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,163,113,336,755,1243,2398,2910,7071,12031,11666,17191,18965,15937,20444,24250,8405689.89,278452.64,1484039000,26431000,0,0,0,0,0,0
Cell_1,day 02 01:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,18,64,149,527,1157,1644,4085,9792,13875,14014,12856,12564,13150,15744,6380905.33,192318.92,1037017000,18656000,0,0,0,0,0,0
Cell_1,day 02 02:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,12,14,92,481,1243,2826,8180,10037,14288,17432,10275,7699,8722,8396016.02,1031484.34,2555338000,168948000,0,0,0,0,0,0
Cell_1,day 02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0
Cell_1,day 02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0
Cell_1,day 02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0
Cell_1,day 02 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0
Cell_1,day 02 07:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,86,340,262,385,3646,2619,3365,5459,5270,6640,8566,7356,3766,8113,2336227.39,20553.1,438299000,4567000,0,0,40,0,0,0
Cell_1,day 02 08:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,55,24,109,388,733,1834,1461,7156,8829,12596,7573,9713,12564,8439,17552,3582161.12,175161.26,393276000,21322000,0,0,0,0,0,0
Cell_1,day 02 09:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,185,142,210,562,869,1842,3267,6469,8278,11120,14987,16677,17011,11853,19198,5142789.8,238107.47,627798000,26431000,0,0,0,0,0,0
Cell_1,day 02 10:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,181,378,1172,3554,4386,7551,9773,26796,25941,18253,15849,16756,37694,13854878.14,291226.08,6220472000,37140000,0,0,0,0,0,0
Cell_1,day 02 11:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84,109,290,769,1702,4803,8029,10062,14316,14450,15019,16382,19629,17992,26504,7213004.86,111686.63,1503475000,23040000,0,0,0,0,0,0
Cell_1,day 02 12:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,375,236,568,1252,1948,3071,5322,7685,12031,16506,17715,19736,24288,21857,29266,6449541.7,160861.7,1367841000,21359000,0,0,0,0,0,0
Cell_1,day 02 13:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,29,146,486,912,2291,5987,10418,15351,17675,18923,21693,23467,17565,24680,5624123.64,238107.47,1453922000,37075000,0,0,0,0,0,0
Cell_1,day 02 14:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,201,59,121,273,853,2412,4672,9886,15341,16421,19675,18542,20869,19130,33187,8904610.71,209828.06,3194006000,37066000,0,0,0,0,0,0
Cell_1,day 02 15:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,63,255,619,869,1703,3666,9800,13818,16741,18237,15207,19727,19513,29033,12657689.38,337312.5,2868774000,42817000,0,0,0,0,0,0
Cell_1,day 02 16:00:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35,63,190,335,689,2181,5212,9545,14067,18128,17895,18627,17247,15366,20008,8496495.99,219184.62,1484039000,36925000,0,0,0,0,0,0
Cell_1,day 02 17:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,86,207,391,1400,4139,6414,9824,14799,19319,21996,25390,26446,21792,29279,9163097.92,236264.52,1969833000,47382000,0,0,0,0,0,0
Cell_1,day 02 18:00:00,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,112,75,218,487,1456,3045,6181,9859,18519,24922,28478,29782,27399,26488,41978,16238106.53,307214.36,3579092000,45568000,0,0,0,0,0,0
Cell_1,day 02 19:00:00,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,358,102,296,705,1286,3697,7368,10491,18259,20943,22370,22621,23383,22118,28209,17057928.39,281760.17,4069700000,45568000,0,0,0,0,0,0
Cell_1,day 02 20:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,358,160,486,876,1566,4515,6515,11272,19424,22636,26514,23456,20188,18789,29223,11405091.52,337312.5,3029357000,70896000,0,0,0,0,0,0
Cell_1,day 02 21:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,702,227,556,1221,1727,3829,5743,11106,18040,20834,24138,27269,32109,32880,33564,6129756.21,160861.7,1641246000,31784000,0,0,0,0,0,0
Cell_1,day 02 22:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,333,161,414,415,1157,2972,4201,9407,14011,16019,21463,27956,35835,27596,34999,6036708.7,421884.21,1537423000,34701000,0,0,0,0,0,0
Cell_1,day 02 23:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,65,71,406,539,1187,2837,3972,9918,17808,23463,28996,31892,34045,20684,22612,7578416.14,231406.96,2618728000,24869000,0,0,0,0,0,0
Cell_1,day 03 00:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,19,87,101,330,894,1857,4672,7819,12574,19375,18425,19013,12571,36214,3516127.22,175161.26,1221282000,17916000,0,0,0,0,0,0
Cell_1,day 03 01:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,22,39,74,426,1884,3332,5099,9807,14366,22251,22459,17711,12046,30422,3856872.96,210344.02,908065000,18656000,0,0,0,0,0,0
Cell_1,day 03 02:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,39,129,439,1884,3332,8266,15212,22132,25153,29495,20846,12078,10470,7578416.14,1619143.91,2640431000,199554000,0,0,0,0,0,0
Cell_1,day 03 03:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1629,696,578,569,1456,4618,10333,18732,24585,33112,36341,53238,34045,33226,21500,7132359.55,3029009.72,1820946000,238454000,0,0,0,0,0,0
Cell_1,day 03 04:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,45,152,278,695,3519,8738,16582,34554,29047,47353,46186,27525,65083,9800,15210,4602807.02,336723.51,2160714000,54706000,0,0,0,0,0,0
Cell_1,day 03 05:00:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,502,252,287,1131,3019,10049,15323,28409,30200,30085,31162,30430,41816,21187,62997,2909748.78,421884.21,729559000,26431000,0,0,0,0,0,0
Cell_1,day 03 06:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,18,52,291,270,318,4135,4949,3937,7791,3914,5687,15431,26401,23540,48303,4182129.26,63895.76,846774000,33174000,0,0,0,0,0,0
Cell_1,day 03 07:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,29,103,286,2202,3712,8694,10866,11236,8312,9677,20200,4695,19307,4846627.61,53090.46,363319000,7257000,0,0,0,0,0,0
Cell_1,day 03 08:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,18,69,152,312,579,1860,3336,8777,9560,11499,12129,8353,14607,8357,7857,5624123.64,169914.61,702489000,18656000,0,0,0,0,0,0
Cell_1,day 03 09:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,41,43,154,327,752,2605,5193,1799,12287,14141,14014,12856,15432,10530,14052,4862603.47,53090.46,610669000,15015000,0,0,0,0,0,0
Cell_1,day 03 10:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,438,175,389,978,1745,3610,5488,10244,13470,15619,12664,13377,16214,16020,25878,7258139.54,170052.36,1212900000,29080000,0,0,0,0,0,0
Cell_1,day 03 11:00:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,268,148,231,487,1430,2850,7368,12396,16369,16741,17999,17963,19007,18686,29033,8473261.1,498562.39,2610495000,42870000,0,0,0,0,0,0
Cell_1,day 03 12:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,70,280,618,1324,3384,6996,11653,21353,23531,20472,21685,19568,16756,28468,5520565.42,421501.34,2083879000,55630000,0,0,0,0,0,0
Cell_1,day 03 13:00:00,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,60,234,471,1900,3128,5474,11336,19363,24844,32160,32646,26272,17213,22428,8727922.7,656376.02,3029357000,75271000,0,0,0,0,0,0
Cell_1,day 03 14:00:00,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,264,130,270,578,1289,1939,5540,9097,17874,24840,29503,29782,22541,12686,15653,7769407.29,185877.1,2559541000,43095000,0,0,0,0,0,0
Cell_1,day 03 15:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,154,279,578,954,2389,3805,8346,16004,24840,28996,32264,21410,14069,11399,8118283.9,185877.1,1930977000,40900000,0,0,0,0,0,0
Cell_1,day 03 16:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,268,127,348,558,3349,1939,5540,9097,18484,23271,29946,28721,25694,15438,16279,7815196.52,1146870.18,4075251000,288943000,0,0,0,0,0,0
Cell_1,day 03 17:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,465,197,419,556,1217,4135,7272,12682,19913,24690,34199,26795,16584,10593,17335,5769117.62,1100483.45,3313035000,156787000,0,0,0,0,0,0
Cell_1,day 03 18:00:00,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,34,60,155,369,1002,3343,7518,12710,23101,24690,34002,36375,24752,11960,14679,7815196.52,945959.95,3100428000,162881000,0,0,0,0,0,0
Cell_1,day 03 19:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,226,135,348,876,1616,3812,7196,13611,24444,27504,32649,28624,20188,16122,19184,9497058.74,447337.17,5141341000,57059000,0,0,0,0,0,0
Cell_1,day 03 20:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,406,236,631,1195,1944,5222,8101,15720,25853,29954,32649,26144,19551,13900,18422,6493739.31,418350.39,5185783000,121097000,0,0,0,0,0,0
Cell_1,day 03 21:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,43,157,238,1338,3343,7675,8954,14839,19832,22675,25035,23087,15236,18524,8473261.1,173107.04,2318113000,30819000,0,0,0,0,0,0
Cell_1,day 03 22:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,268,193,367,755,2499,3891,9887,10634,18972,25056,26918,29782,24017,21139,32874,13538787.21,337312.5,5254376000,42921000,0,0,0,0,0,0
Cell_1,day 03 23:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,77,181,446,1213,3681,11831,10577,17053,26191,35186,48924,30266,22516,29223,11545489.04,161531.98,4494653000,57177000,0,0,0,0,0,0
Cell_1,day 04 00:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,22,93,126,2986,3760,7117,7726,18530,23839,31162,31102,25089,17213,24538,10013600.57,161531.98,2094140000,32405000,0,0,0,0,0,0
Cell_1,day 04 01:00:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,26,64,214,491,2202,3747,3937,8790,17472,16738,17377,21919,16604,22721,9497058.74,111254.58,1484039000,19759000,0,0,0,0,0,0
Cell_1,day 04 02:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,49,74,319,1314,2379,2826,6711,10794,13467,15091,13137,12016,25748,5376993.1,6588880.55,1108447000,179338000,0,0,0,0,0,0
Cell_1,day 04 03:00:00,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,48,19,146,484,662,2444,2885,5723,11065,12589,13144,20288,23368,14069,28659,7815196.52,148647.59,1239956000,29428000,0,0,0,0,0,0
Cell_1,day 04 04:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,65,230,424,823,2632,8516,9963,14267,27709,22604,15350,23117,18077,13938,41754,2909748.78,165726.0,1357052000,21018000,0,0,0,0,0,0
Cell_1,day 04 05:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,122,116,308,1029,3627,12543,20894,16203,43462,44553,26612,33738,46815,42481,62997,5520565.42,517170.43,1154108000,43682000,0,0,0,0,0,0
Cell_1,day 04 06:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,45,63,406,221,3777,4437,8269,18873,39634,10771,10355,15143,26265,5460,9601,3702432.42,86368.14,1572588000,19390000,0,0,0,0,0,0
Cell_1,day 04 07:00:00,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,15,119,242,579,1314,2748,5661,8088,11332,12654,12602,14607,10530,22203,4577246.22,67066.62,509772000,10059000,0,0,0,0,0,0
Cell_1,day 04 08:00:00,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78,25,74,282,450,945,1139,2820,5653,6073,8899,8668,18136,13067,12332,4052093.65,103978.02,420242000,12445000,0,0,0,0,0,0
Cell_1,day 04 09:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,202,147,173,594,1778,3596,5866,8124,11224,12421,13145,18136,19156,8661,3587194.59,86368.14,527926000,14708000,0,0,0,0,0,0
Cell_1,day 04 10:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,116,109,254,570,1536,2894,4805,7691,11884,13281,15742,18636,18693,3584,21006,4846627.61,130361.68,1344400000,21018000,0,0,0,0,0,0
Cell_1,day 04 11:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,61,209,400,1113,3121,6301,10019,17318,19832,18594,19693,20254,21415,20751,6861495.85,134137.39,2424339000,33441000,0,0,0,0,0,0
Cell_1,day 04 12:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,438,392,871,1800,5767,5774,10012,13645,23064,23601,27248,29826,29587,19568,12955,8371812.82,146326.84,2961476000,57177000,0,0,0,0,0,0
Cell_1,day 04 13:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,93,116,283,549,1506,3464,5474,9346,16805,20919,22441,21315,19029,17104,23402,8356510.51,517170.43,2011091000,64965000,0,0,0,0,0,0
Cell_1,day 04 14:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,134,114,350,730,1272,2793,4156,6211,16446,19319,21351,20784,24288,21869,18840,6904450.51,121197.54,2244362000,15228000,0,0,0,0,0,0
Cell_1,day 04 15:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,61,170,454,977,2328,4931,7563,13632,17393,17293,19253,26404,25363,29685,7841260.05,168415.54,1331517000,21645000,0,0,0,0,0,0
Cell_1,day 04 16:00:00,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,253,15,396,286,977,2972,5399,8397,14986,15265,16257,20812,23383,14565,17102,4695388.2,47319.46,1312779000,27720000,0,0,0,0,0,0
Cell_1,day 04 17:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,93,110,266,469,978,2498,5727,9872,18854,21341,21538,23642,20916,15914,22214,7838482.79,418350.39,2397647000,93426000,0,0,0,0,0,0
Cell_1,day 04 18:00:00,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65,45,218,367,1818,2264,4892,8954,16280,21638,26514,26250,27779,20284,21691,6168843.54,297060.36,2136427000,98674000,0,0,0,0,0,0
Cell_1,day 04 19:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,60,44,143,359,2986,2977,6440,11336,18484,25806,33649,36375,39030,33226,31273,8165795.17,1330120.5,3542051000,96194000,0,0,0,0,0,0
Cell_1,day 04 20:00:00,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,304,200,783,1297,1923,3481,5322,9069,14467,17420,22503,21884,24796,19948,33187,7792105.95,1271866.45,2731145000,79951000,0,0,0,0,0,0
Cell_1,day 04 21:00:00,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,702,261,1131,1876,2011,3458,4386,7575,14467,18342,21745,24131,25749,27090,30550,10372545.42,553720.15,2618728000,43238000,0,0,0,0,0,0
Cell_1,day 04 22:00:00,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,669,314,573,1229,1293,3614,5789,12241,23740,24035,26242,23491,22210,24008,39166,10322243.58,109840.29,3265502000,26918000,0,0,0,0,0,0
Cell_1,day 04 23:00:00,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,320,261,775,1007,1566,3081,5756,11272,20412,25811,23934,26490,25089,27989,33564,8592364.98,236264.52,2851516000,39030000,0,0,0,0,0,0
Cell_1,day 05 00:00:00,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,302,180,432,1283,1429,3024,5550,10338,17333,23442,24947,26490,23875,18884,26665,9497058.74,188924.0,4983100000,60014000,0,0,0,0,0,0
Cell_1,day 05 01:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,28,46,210,392,861,2874,5443,14604,18128,21039,21669,27258,15205,20876,7855136.8,83670.34,961805000,19390000,0,0,0,0,0,0
